id_practicante,fecha_ingreso,area_asignada,supervisor_asignado,estado_final,asistencia_pct,tardanzas_30d,inasistencias_injust_30d,entregables_asignados,entregables_a_tiempo,entregables_a_tiempo_pct,retrasos_entregables,eval_supervisor_promedio,incidencias_registradas,reuniones_asistidas_pct,tendencia_desempeno
PRACT_0001,2024-05-28,Marketing,Supervisor_10,0,0.9585561293497447,0,0,20,16,0.8086004330889144,4,4.3,0,0.8037449427588782,1
PRACT_0002,2023-06-22,Operaciones,Supervisor_10,1,0.6824108037197381,8,5,8,4,0.5644611318376455,4,2.4,2,0.7844909125882009,-1
PRACT_0003,2021-06-12,TI,Supervisor_9,0,0.9149777131680903,3,1,5,4,0.9132623243038209,1,4.4,0,0.9424788603905976,1
PRACT_0004,2024-05-28,Marketing,Supervisor_7,0,0.9065579072646637,1,1,11,10,0.9448271957665266,1,4.5,0,0.8230939550355776,1
PRACT_0005,2021-09-27,Operaciones,Supervisor_2,0,0.972941544872654,1,0,17,15,0.8927668685900104,2,4.0,0,0.9140478884891602,0
PRACT_0006,2022-09-24,TI,Supervisor_9,0,0.9559717435928313,4,1,20,18,0.921384456045308,2,3.7,1,0.9136722364871549,1
PRACT_0007,2023-06-25,Finanzas,Supervisor_4,0,0.9359000768079264,1,2,19,16,0.8445497540547409,3,4.6,0,0.9364900840380801,1
PRACT_0008,2024-11-24,Finanzas,Supervisor_8,1,0.7829252378743259,7,6,19,12,0.64649397914935,7,2.8,1,0.5341590768540324,-1
PRACT_0009,2024-04-20,RRHH,Supervisor_7,0,0.9388058474260957,2,1,12,10,0.8633771104344542,2,3.9,0,0.9253006614532193,0
PRACT_0010,2021-07-24,Marketing,Supervisor_7,0,0.9795965089600608,2,1,9,7,0.8828137238880885,2,4.1,0,0.8561503901492683,1
PRACT_0011,2022-08-05,Finanzas,Supervisor_8,0,0.9305756127512375,2,2,7,5,0.8245679957714209,2,4.2,1,0.9014005980992345,1
PRACT_0012,2023-04-21,Marketing,Supervisor_1,1,0.5254958541408199,9,7,19,10,0.5296074398901225,9,2.3,5,0.8093294210816306,-1
PRACT_0013,2024-06-05,Finanzas,Supervisor_5,1,0.8264238928299752,8,3,8,3,0.43328687831030105,5,2.5,5,0.7822583745452054,-1
PRACT_0014,2022-08-19,RRHH,Supervisor_2,0,0.9394551129281373,2,0,14,11,0.8007858642844436,3,3.6,0,0.8237806035355987,1
PRACT_0015,2021-09-07,Operaciones,Supervisor_2,0,0.9792692572849377,1,0,16,13,0.8376293854418818,3,4.6,0,0.9182369574232147,0
PRACT_0016,2023-05-25,RRHH,Supervisor_1,0,0.9279144133222305,2,2,19,18,0.950875191104982,1,3.6,1,0.9938233061881477,1
PRACT_0017,2021-07-15,TI,Supervisor_5,0,0.9646365112123656,4,0,14,12,0.9041054225618328,2,4.2,1,0.8313538874670005,1
PRACT_0018,2022-11-21,Finanzas,Supervisor_2,0,0.9873310873257728,1,0,5,4,0.8174067130183109,1,4.7,1,0.970581417545083,1
PRACT_0019,2023-12-30,TI,Supervisor_4,0,0.9041644022339981,2,0,11,8,0.807355558546618,3,4.2,0,0.9405096161107553,1
PRACT_0020,2022-10-01,TI,Supervisor_3,0,0.9830635764686089,3,2,18,14,0.8303175823804639,4,3.7,0,0.954800662581952,0
PRACT_0021,2024-11-23,Marketing,Supervisor_3,0,0.9571333004971929,1,1,13,12,0.9895874692759303,1,5.0,1,0.8563916654285291,0
PRACT_0022,2022-11-03,Finanzas,Supervisor_2,0,0.960747175390857,1,2,18,16,0.9359673519515441,2,4.8,1,0.8575777858759686,0
PRACT_0023,2024-05-11,TI,Supervisor_6,0,0.9523158000805982,3,2,18,16,0.8991049246623689,2,4.7,1,0.9812038911552976,0
PRACT_0024,2024-03-17,Operaciones,Supervisor_2,0,0.9874475103283642,1,0,14,11,0.8501463652004109,3,4.1,1,0.8719664064185118,1
PRACT_0025,2023-08-02,TI,Supervisor_8,0,0.9043433357235637,2,0,11,9,0.8710919703768277,2,3.8,0,0.8126030781385621,1
PRACT_0026,2021-07-18,Operaciones,Supervisor_8,0,0.9261028391535848,1,1,9,8,0.9279107652754622,1,4.9,0,0.9201193407158901,0
PRACT_0027,2024-12-20,Marketing,Supervisor_5,0,0.9875762538859155,2,1,19,16,0.8488460234019168,3,4.3,0,0.8249635338083686,1
PRACT_0028,2022-05-07,TI,Supervisor_10,0,0.9752345702531956,3,1,18,14,0.8089113263235307,4,4.8,1,0.9593192482815817,1
PRACT_0029,2023-06-15,RRHH,Supervisor_7,0,0.9017645160178606,0,1,8,7,0.9051099340300459,1,4.0,1,0.9283492885002115,0
PRACT_0030,2021-05-22,Marketing,Supervisor_4,0,0.9517006283209709,3,2,12,10,0.8945608928225449,2,4.0,1,0.9749453010442417,1
PRACT_0031,2024-08-29,Operaciones,Supervisor_1,0,0.9529572680712675,2,1,17,14,0.8641762798073287,3,5.0,0,0.956967449956527,1
PRACT_0032,2021-06-14,Marketing,Supervisor_2,0,0.940088213512791,4,2,19,16,0.8588643488462472,3,4.3,0,0.8224227296676393,1
PRACT_0033,2021-11-10,TI,Supervisor_10,0,0.929739333206199,3,0,8,7,0.9517824497774059,1,3.7,1,0.8762141352868845,0
PRACT_0034,2021-01-21,Finanzas,Supervisor_10,1,0.7386036976443198,15,2,15,8,0.5544939431945034,7,1.8,1,0.8098240999658349,-1
PRACT_0035,2024-01-11,Finanzas,Supervisor_4,1,0.5727266626466638,15,5,5,3,0.6102113728562104,2,2.2,2,0.6669365893065303,0
PRACT_0036,2024-02-29,Operaciones,Supervisor_1,1,0.7796319967250971,5,1,10,5,0.596868397122642,5,1.6,3,0.8889461939119914,-1
PRACT_0037,2023-09-11,Operaciones,Supervisor_8,0,0.9803037160767472,1,2,20,16,0.8258495387978453,4,4.2,1,0.9471480899786898,0
PRACT_0038,2021-11-01,Finanzas,Supervisor_9,0,0.941526143757282,3,1,13,12,0.9899910018664408,1,4.1,1,0.8030999833380642,1
PRACT_0039,2022-01-06,Operaciones,Supervisor_4,0,0.9283548010909648,2,2,6,5,0.9406610613726756,1,4.7,0,0.9759971383121673,0
PRACT_0040,2023-05-03,Marketing,Supervisor_10,0,0.9283878181590713,3,0,8,7,0.9577372858462848,1,4.0,1,0.8201609569737116,1
PRACT_0041,2022-01-19,RRHH,Supervisor_3,0,0.948229132399621,4,1,9,8,0.9875506031022967,1,5.0,1,0.8281047448360173,0
PRACT_0042,2022-03-21,RRHH,Supervisor_2,0,0.9719579224749358,1,0,19,15,0.8066786409731715,4,3.8,0,0.9468984801222102,0
PRACT_0043,2022-03-01,Marketing,Supervisor_5,0,0.9358868690993859,0,0,9,8,0.9676825462334742,1,4.4,1,0.9729937118860961,1
PRACT_0044,2021-06-10,RRHH,Supervisor_3,1,0.713515170910213,14,6,16,7,0.47169597632670296,9,1.6,1,0.7145398511598224,-1
PRACT_0045,2024-04-16,TI,Supervisor_10,0,0.9382484460582594,0,1,9,8,0.9597929805067491,1,4.6,1,0.8578099465891559,1
